"outerHTML","title"
"<a href=""/quotes/bradley_whitford_410518?src=t_motivational"" class=""b-qt qt_410518 oncl_q"" title=""view quote"">Infuse your life with action. Don&#39;t wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.</a>","view quote"
"<a href=""/authors/bradley_whitford"" class=""bq-aut qa_410518 oncl_a"" title=""view author"">Bradley Whitford</a>","view author"
"<a href=""/quotes/st_jerome_389605?src=t_motivational"" class=""b-qt qt_389605 oncl_q"" title=""view quote"">Good, better, best. Never let it rest. &#39;Til your good is better and your better is best.</a>","view quote"
"<a href=""/authors/st_jerome"" class=""bq-aut qa_389605 oncl_a"" title=""view author"">St. Jerome</a>","view author"
"<a href=""/quotes/charles_r_swindoll_388332?src=t_motivational"" class=""b-qt qt_388332 oncl_q"" title=""view quote"">Life is 10% what happens to you and 90% how you react to it.</a>","view quote"
"<a href=""/authors/charles_r_swindoll"" class=""bq-aut qa_388332 oncl_a"" title=""view author"">Charles R. Swindoll</a>","view author"
"<a href=""/quotes/carol_burnett_371189?src=t_motivational"" class=""b-qt qt_371189 oncl_q"" title=""view quote"">Only I can change my life. No one can do it for me.</a>","view quote"
"<a href=""/authors/carol_burnett"" class=""bq-aut qa_371189 oncl_a"" title=""view author"">Carol Burnett</a>","view author"
"<a href=""/quotes/helen_keller_164579?src=t_motivational"" class=""b-qt qt_164579 oncl_q"" title=""view quote"">Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.</a>","view quote"
"<a href=""/authors/helen_keller"" class=""bq-aut qa_164579 oncl_a"" title=""view author"">Helen Keller</a>","view author"
"<a href=""/quotes/og_mandino_157864?src=t_motivational"" class=""b-qt qt_157864 oncl_q"" title=""view quote"">Failure will never overtake me if my determination to succeed is strong enough.</a>","view quote"
"<a href=""/authors/og_mandino"" class=""bq-aut qa_157864 oncl_a"" title=""view author"">Og Mandino</a>","view author"
"<a href=""/quotes/confucius_140908?src=t_motivational"" class=""b-qt qt_140908 oncl_q"" title=""view quote"">It does not matter how slowly you go as long as you do not stop.</a>","view quote"
"<a href=""/authors/confucius"" class=""bq-aut qa_140908 oncl_a"" title=""view author"">Confucius</a>","view author"
"<a href=""/quotes/simone_de_beauvoir_149611?src=t_motivational"" class=""b-qt qt_149611 oncl_q"" title=""view quote"">Change your life today. Don&#39;t gamble on the future, act now, without delay.</a>","view quote"
"<a href=""/authors/simone_de_beauvoir"" class=""bq-aut qa_149611 oncl_a"" title=""view author"">Simone de Beauvoir</a>","view author"
"<a href=""/quotes/unknown_159550?src=t_motivational"" class=""b-qt qt_159550 oncl_q"" title=""view quote"">The past cannot be changed. The future is yet in your power.</a>","view quote"
"<a href=""/authors/unknown"" class=""bq-aut qa_159550 oncl_a"" title=""view author"">Unknown</a>","view author"
"<a href=""/quotes/eleanor_roosevelt_143006?src=t_motivational"" class=""b-qt qt_143006 oncl_q"" title=""view quote"">With the new day comes new strength and new thoughts.</a>","view quote"
"<a href=""/authors/eleanor_roosevelt"" class=""bq-aut qa_143006 oncl_a"" title=""view author"">Eleanor Roosevelt</a>","view author"
"<a href=""/quotes/philip_sidney_160088?src=t_motivational"" class=""b-qt qt_160088 oncl_q"" title=""view quote"">Either I will find a way, or I will make one.</a>","view quote"
"<a href=""/authors/philip_sidney"" class=""bq-aut qa_160088 oncl_a"" title=""view author"">Philip Sidney</a>","view author"
"<a href=""/quotes/thomas_a_edison_149049?src=t_motivational"" class=""b-qt qt_149049 oncl_q"" title=""view quote"">Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.</a>","view quote"
"<a href=""/authors/thomas_a_edison"" class=""bq-aut qa_149049 oncl_a"" title=""view author"">Thomas A. Edison</a>","view author"
